text,size
aboard,1
abused,1
abuser,1
abusethe,1
according,1
accusation,1
acknowledge,1
act,1
action,5
actionsdr,1
activist,1
actwashington,1
adam,1
adding,1
addressed,1
administrative,1
advice,1
adviser,1
agenda,1
agent,3
aggravated,1
ago,1
alcohol,1
allegation,3
alleged,1
almost,2
also,8
altered,1
alton,1
amid,1
amount,1
amphetamine,1
andrew,1
announcement,4
announcing,1
another,3
answer,1
answered,1
anybody,1
anyone,1
apartment,1
app,2
apparently,1
appeal,4
appears,1
application,1
appoint,2
appointmentlawyers,1
approach,1
approaching,1
argue,2
armfootage,1
around,2
arrest,1
arun,1
asked,1
assailed,1
assault,1
associate,1
associated,1
attack,1
attempted,1
attention,1
attorney,4
auditory,2
authority,1
autopsy,1
aware,1
b,4
back,1
backi,1
backyard,1
banker,1
bathroom,2
baton,7
behavior,1
behaviormichael,1
beingthe,1
believed,1
bend,1
bengaluru,1
berry,1
beyondchief,1
black,5
blocked,1
blood,1
board,1
body,1
bout,1
boy,1
brandishing,1
bring,2
broke,1
broome,2
brought,1
bullet,1
business,1
caliber,1
call,3
called,1
calling,1
calm,1
came,2
camera,2
campaign,4
campaignmr,1
cannot,1
captured,1
car,2
care,3
cared,1
carolina,2
carter,1
casesthe,1
cast,1
causing,1
cellphone,1
certain,2
chairman,3
charge,3
charged,3
chargescayce,1
charles,1
charlestonsheriff,1
chase,1
chief,8
child,6
childrenafter,1
childrenin,1
chose,1
chris,1
ci,1
city,1
civil,3
claim,1
claimed,2
clark,2
classified,1
clear,1
client,1
clinton,2
closeddoor,1
closest,1
cluster,1
cocaine,1
columbia,2
coming,2
command,2
comment,2
commentator,1
commissioned,1
committed,1
committee,3
committeethe,1
company,1
complaint,1
concern,1
conclusion,1
conduct,1
conference,1
congressional,2
connection,1
conscious,1
consciousnessdr,1
consequence,2
conservative,2
consistent,1
contact,1
contained,1
contributed,1
control,1
controlhe,1
convenience,2
convicted,1
coroner,1
correct,1
could,3
counsel,5
counselpresident,1
count,1
country,1
county,1
coupled,1
court,2
courtbefore,1
crime,3
criminal,1
crippling,1
crossexamination,1
customer,1
cut,1
dangerousthe,1
day,6
daydr,1
death,3
deathchief,1
decision,6
decisionsa,1
decisionsthe,1
declaration,1
declined,2
deep,1
deeply,2
deescalation,1
defectms,1
defense,1
delusion,1
demanded,1
democrat,1
democratfunded,1
department,11
depiction,1
depressed,1
depression,1
deputy,5
deranged,1
description,1
despondent,1
deviation,1
devil,3
dh,1
diagnosed,1
died,1
different,1
difficult,1
direction,1
director,1
disabled,1
disappoint,1
disciplinary,2
discipline,1
disciplined,1
disease,1
disengagement,1
dismissed,1
dissociative,1
district,1
divided,1
division,1
domestic,1
dominican,1
dozen,1
dr,8
driver,1
durov,1
e,2
earlier,3
east,1
economically,1
editing,1
effort,1
eight,1
elected,1
eligible,1
emily,1
encounter,2
encouraged,1
end,1
enforcement,3
englewood,1
entered,1
episode,1
europe,1
even,2
every,1
evidence,2
examination,1
examining,2
exhibited,1
existing,2
expect,1
expected,3
expects,1
experience,1
experiencingon,1
expert,1
explanation,1
expletive,1
fabolous,1
face,1
facilityto,1
facing,1
family,5
fatal,2
fatally,2
fbi,3
fear,2
federal,4
feeling,1
fellow,1
felt,1
fighting,1
file,1
findingsanother,1
fire,1
firearma,1
fired,4
firing,1
first,2
firstdegree,1
fisher,1
fit,1
fix,1
folding,1
follow,1
followed,1
following,2
footage,1
force,2
forced,1
forcethe,1
foregone,1
foreign,2
former,5
forthcoming,1
found,4
foundation,1
founder,1
four,1
friday,4
frustrated,1
fulfilling,1
fully,1
g,1
gain,1
garner,1
general,6
generality,1
get,1
girl,1
girlfriend,1
give,1
going,1
goodlatte,1
got,1
gowdy,1
grandmother,1
grassley,1
grip,1
grisly,1
groundgunshots,1
grown,1
gun,2
gunone,1
gunthe,1
ha,3
hallucination,2
handgun,1
handling,1
hard,1
head,2
headthese,1
heard,1
hearing,4
heart,1
henry,1
herthe,1
highprofile,2
hillary,1
hip,1
hold,1
holding,1
home,2
hood,1
hop,1
horowitz,1
hospital,1
hour,1
hourslong,1
house,2
however,1
howie,1
huber,1
human,1
hurt,1
identified,1
identify,1
ii,1
iiithat,1
illness,1
incident,2
included,3
including,2
increasingly,1
influence,1
information,3
inquiry,4
insanity,1
inspector,3
institution,1
intelligence,2
intended,1
intent,1
intentional,1
international,1
interstate,1
interview,2
interviewed,2
investigate,2
investigated,1
investigating,1
investigation,3
investment,1
involved,1
iowa,1
irrational,1
issue,4
itfabolous,1
jackson,1
jay,1
jeff,2
jerseyenglewood,1
job,1
john,3
judiciary,2
july,1
juror,1
justice,6
karen,1
kid,1
kill,5
killed,3
killing,4
kitchen,1
knifesshe,1
know,1
koon,1
koyyurenglewood,1
krim,2
krims,1
l,1
la,1
lake,8
landry,1
large,1
larger,1
last,4
late,1
later,2
latershe,1
laterthe,1
latter,1
law,3
lawmaker,7
lawyer,8
lead,1
leading,2
least,2
leave,2
led,2
left,1
leo,1
letter,2
lexington,1
lie,1
life,3
like,1
listena,1
little,1
local,1
logical,1
long,1
lot,2
louisiana,1
love,1
loved,1
lucia,2
lucid,1
made,1
main,1
make,1
making,1
man,7
manhattan,1
march,1
margaret,1
matter,2
may,3
mayor,3
mccabe,1
mclindon,2
medical,1
member,2
memo,1
memory,1
men,3
mental,1
mentioned,1
message,1
messaging,1
methamphetamine,2
michael,1
middle,1
minor,1
minute,1
mistreated,1
modicum,1
modify,1
moment,3
month,5
moscow,1
mostly,1
mother,1
motionless,1
movefour,1
mr,34
mueller,1
multiple,1
murder,5
murphy,1
must,1
name,2
nanny,2
navigate,1
nearly,1
neck,1
need,1
negotiation,1
never,2
new,4
newly,1
news,2
nightthe,2
nj,1
normal,1
noted,2
noting,1
november,1
number,1
numerous,1
obviating,1
occurred,1
oct,1
officer,38
official,7
officialin,1
olinde,1
one,5
order,1
ordered,1
ordering,1
organizational,1
ortega,11
outage,1
outcome,1
oversight,1
overworked,1
page,3
parking,2
part,1
path,1
paul,5
pavel,1
perfectnonetheless,1
place,1
placed,1
plea,1
pleased,1
pledged,1
pm,2
pocket,2
point,2
pointed,1
police,15
policehe,1
policy,5
political,1
post,1
power,2
presidential,2
prevail,1
previous,1
principle,1
prison,1
private,1
procedure,1
proceeding,1
process,2
profanity,1
professionalism,1
promise,1
prompted,2
prosecutor,3
protest,3
proved,1
psychiatric,1
psychiatrist,4
psychosis,2
psychotic,2
public,1
publicly,1
punishment,3
pursue,1
purview,1
put,1
question,3
questionsthe,1
quicklypart,1
racially,1
rahul,1
raise,1
raised,1
raising,1
rally,1
rapper,3
rarely,1
raw,1
reached,1
read,1
real,1
reality,1
reason,2
rebut,1
recall,1
receive,1
recent,1
reform,1
reiterated,1
rejected,1
related,1
relative,2
relatively,1
release,2
released,5
relied,1
relief,1
remember,1
repeatedly,2
replace,1
repliedmr,1
report,4
reported,1
republic,1
republican,4
request,1
research,1
resented,1
resident,2
resist,1
resisting,1
respectplease,1
respond,1
responding,2
response,1
responsible,2
result,2
resulted,1
retaliatory,1
retirereuters,1
right,1
ring,1
robert,3
rosenbaum,11
rouge,7
route,1
rule,1
running,1
runthe,1
russia,2
russian,2
sacramento,1
said,30
saidin,1
saidshe,1
salamoni,9
salamonis,2
satan,2
say,3
saying,1
sc,1
screaming,1
scrutinyi,1
search,1
second,3
secretary,1
secure,1
see,2
seek,1
seeking,1
seen,2
seize,1
selfinflicted,1
senate,1
senior,1
serious,1
seriously,1
served,1
server,1
service,2
session,6
set,1
several,2
severe,1
shadow,1
sharon,1
shaw,1
sheriff,2
shoot,2
shooting,5
shot,6
shouting,1
show,4
showed,1
showfabolous,1
side,2
significant,1
silberg,3
since,1
sister,2
six,1
slamming,1
slaying,1
small,1
someone,1
son,1
soon,1
source,1
sourcebut,1
south,2
southern,1
special,6
splitsecond,2
spoke,3
spokesman,1
spy,1
stabbed,2
standardshe,1
standing,1
standoff,2
start,1
started,1
state,12
statelevel,1
statement,1
station,1
stayed,1
stephon,1
sterling,19
stewart,1
stop,2
store,2
story,1
street,1
stressed,1
strip,1
struck,1
struggling,1
stuart,1
submitted,1
sudden,1
suggested,2
support,2
supreme,1
surveillance,4
surveilling,1
suspect,1
suspected,1
suspended,1
sustaining,1
swears,1
table,1
tackle,1
tactic,1
take,3
taken,1
taking,1
talked,1
taser,2
technique,1
teenage,1
teenager,1
telegram,2
telling,3
temperthe,1
tension,1
terroristic,1
test,1
testified,2
testify,1
testimony,2
thats,1
thc,1
themblane,1
thing,1
think,1
thom,1
thought,1
thoughtful,1
threat,1
threatening,1
threatens,1
three,5
throat,1
throughout,1
thursday,5
thursdayreporting,1
thursdaythe,1
tie,1
time,2
tiredeflating,1
told,7
took,3
toxicology,1
traffic,1
training,2
treat,1
treatedms,1
trey,1
trial,2
tried,2
trump,7
trust,1
try,1
tuesday,1
turn,1
turned,1
tussle,1
tv,1
tweeted,1
twice,2
twitter,1
two,10
unarmed,1
undercut,1
understand,2
unfair,1
united,1
unreasonable,1
uphold,1
upper,1
urged,1
use,3
useofforce,1
user,1
using,2
utah,1
vacate,1
valuable,1
vantage,1
variety,1
vehicle,1
victim,1
video,5
vigorously,1
violated,3
violence,1
violent,1
virginia,1
visual,1
voice,4
w,2
wa,34
want,1
wasnt,2
way,1
wednesday,2
wednesdayshaw,1
week,3
welcomed,1
went,1
west,3
weston,1
white,1
whose,1
widely,1
wiretap,2
within,1
without,1
witness,1
woman,1
work,1
working,1
would,7
wound,2
wrongprosecutors,1
wrote,2
year,3
yearold,2
yes,1
yet,1
york,1
yoselyn,1
