text,size
aa,1
aaa,1
aaaaaa,2
aaaavengers,1
ab,3
abandoned,1
ablazingaiden,2
able,4
aboutlastnight,2
abril,1
abrown,1
absence,7
absolute,2
absolutely,4
academyawards,1
acapella,1
accept,1
accidently,1
according,2
account,35
accountable,1
acecomiccon,1
acecomicconseattle,1
achieve,1
achrisevans,1
across,9
acrylic,4
act,2
acting,1
action,13
actionavengers,2
active,1
actor,7
actress,3
actual,1
actually,26
actuallythe,1
acura,1
ad,28
adam,2
add,2
added,3
addiction,1
adi,1
admit,1
admittedly,18
adobe,1
adopted,2
adorable,4
adorablereedus,11
adult,1
adva,1
advance,4
advanced,2
adve,1
adventcomics,2
adventu,1
adventure,9
advice,1
aeduaubdedubueduaubdedubu,1
aesthetic,2
aetherreality,9
af,4
affection,1
affiliate,1
affliction,1
afghanistan,15
afiver,1
ag,9
agamotto,1
age,37
agen,1
agency,1
agent,22
agentbatman,1
agentcartertv,1
agentcoulson,3
agentfitz,23
agentm,40
agentofshield,1
agentsofshield,39
ageofavengers,1
ageofultron,56
ageofultronofficial,1
ago,9
agree,6
agreenrage,1
agusialke,1
ah,1
ahead,2
ahhh,1
ahhhyesss,1
ahs,3
ai,1
aid,2
aiptcomics,2
air,3
aisle,1
aisling,1
aitesamfarooq,1
ajdesigns,1
aka,12
akirayoru,1
al,1
ala,1
alannawrites,25
alberth,1
album,2
aldo,1
alejandrojim,2
alert,180
alertleaked,1
alexa,1
alexandrial,1
alexgarnerart,1
alexomuk,2
alfrederesunico,4
alfredmurphy,181
alfredrbill,1
alias,2
alicenevermind,1
alien,9
alittlescene,1
alive,1
allegory,1
alliance,2
allmagic,1
allnew,41
allow,1
allows,2
allpowerful,1
allstars,1
ally,2
allysheedy,2
almost,34
almostfirstpod,1
aloha,7
alonda,1
along,30
alongside,1
already,16
alright,11
also,15
alter,1
alterna,1
alternasavingscu,1
alternate,1
alternative,2
although,2
always,52
amarascine,3
amazed,1
amazing,43
amazingcomiccon,4
amazingnerdshow,205
amazingspider,1
amazon,1
amazonuart,4
ambitious,12
americ,1
america,101
american,2
americana,1
americanbadass,6
ameridote,1
amforest,1
amjoin,27
among,8
amp,670
ampdceduaubdedubudeduaubdedubueduaubdedubud,4
amy,1
analytica,1
anchor,2
ancient,1
andor,2
andreaisa,3
andrewjpg,2
android,5
andyhowtt,1
ang,1
angel,2
angela,1
angeles,6
angersinfinitywar,1
angle,35
angry,2
angryeduaubdedubua,1
animal,1
animated,41
animation,4
anime,2
animeusa,1
anjaan,6
anjelicawaight,20
