text,size
abrasive,1
abuelita,1
abuse,2
abuser,1
accident,2
accomplishment,1
according,1
accounted,2
accounting,1
accused,1
acronym,1
across,2
act,2
action,3
active,1
activist,2
adam,1
adapted,1
add,1
added,3
addedthis,1
adding,1
addition,1
administrative,1
admirably,1
adroitly,1
adult,1
advantage,2
adventure,1
advertiser,1
advertising,2
advice,1
affliction,1
afraid,1
africanamericanthe,1
aftermath,1
afternoon,1
againi,1
age,4
agenda,1
ago,4
agomr,1
agonisingly,1
agrees,1
aid,2
aiera,10
aieras,1
aimed,1
alan,1
alcohol,1
alexa,7
alexas,2
alfred,1
allegedly,1
almost,2
alone,1
along,3
already,1
also,15
although,2
alton,1
always,4
amazing,1
amazon,3
american,1
amid,1
amount,1
amphetamine,1
analysis,2
analyst,9
analytica,1
analyze,1
analyzes,1
analyzing,1
angeles,1
anger,2
angry,1
angst,1
anguished,1
anita,1
announced,1
announcement,3
announcing,1
another,8
answer,1
answered,1
anthony,1
antietam,1
antique,2
antonin,1
anyone,1
anyones,1
apparently,1
appeal,4
appears,1
apple,1
applebongtoking,1
appointmentlawyers,1
appreciatethe,1
approach,1
approaching,1
area,1
arent,1
argue,1
arm,2
armfootage,1
around,5
arrest,1
arrivedthe,1
art,3
artat,1
artificial,2
artificially,1
artist,1
artms,1
asianamerican,1
asked,2
aspire,1
aspired,1
assault,1
associated,1
astonishing,1
atalantathis,1
atmosphere,1
attempt,1
attempted,2
attention,1
attentionand,1
attorney,2
attraction,1
attractive,1
audience,3
authentic,1
authenticityshreve,1
autopsy,1
available,1
average,3
aware,1
awkward,5
b,1
back,2
backi,1
backwards,1
backyard,1
bad,1
baldness,1
ball,1
barely,1
based,3
basketball,1
baton,7
battle,2
battlefield,3
battling,1
beat,1
beautiful,1
beauty,2
became,4
began,2
begin,1
beginning,3
behaviormichael,1
beingthe,1
belated,1
believe,1
beloved,2
bend,1
berelc,1
bern,1
besides,1
best,5
bestselling,1
betofrancesco,1
better,1
beyond,1
beyondchief,1
bias,1
big,3
billion,4
bit,1
bite,2
bitter,1
bittersweet,1
bizarre,1
black,11
blacksmith,1
blaze,1
blind,1
blithe,1
block,6
blond,1
blood,1
bloodiest,1
board,1
boarding,1
body,3
boisterous,1
book,6
booth,1
born,1
bottom,1
bottomed,1
boy,4
boyslife,1
braeden,1
braga,2
brain,1
brainy,1
brandishing,1
brazil,1
brazilian,1
break,1
brett,1
brian,2
bridge,2
brief,1
bright,1
brim,1
bring,2
britain,1
british,1
broadbased,1
broke,1
broken,1
broome,2
brother,1
brought,1
brunette,1
brush,1
brutal,1
bryan,1
built,2
bullet,1
bullish,1
bullying,1
buriedtreasure,1
burlesque,1
burst,1
business,1
buy,5
buzz,1
cable,1
calculate,1
caliber,1
calif,1
california,1
call,4
called,2
calling,1
calm,1
cambridge,1
came,2
camera,2
camp,1
campaign,2
canceled,1
cancer,5
cannot,1
cant,1
capability,1
capacity,1
capitalization,2
capri,1
captured,1
capwhen,1
car,3
care,2
career,2
caress,1
caring,1
carlson,1
carly,1
carnage,1
carried,1
carter,1
cascade,1
casesthe,1
catalog,1
catalyst,1
category,2
cellphone,1
cemetery,1
central,2
centre,1
certain,3
chainsmokes,1
champion,3
chance,1
change,2
changed,2
channel,1
character,8
charge,2
charged,1
charm,1
cheapest,1
chicago,1
chief,8
child,11
childhood,2
childpornbadmother,1
childrens,2
childrenscomedy,1
chipping,1
chose,2
chosen,2
chris,2
circle,1
cite,1
city,1
civil,4
clark,2
clean,1
clear,2
client,1
climb,1
close,4
closed,3
closeddoor,1
clotted,1
cloud,2
club,2
coach,2
coast,1
coaxed,1
cocaine,1
coincides,1
collodion,1
color,2
come,6
comedy,5
comedythe,1
comic,2
coming,1
comingofage,1
command,1
comment,2
commissioned,1
committed,1
common,3
companiesin,1
company,3
companymost,1
comparison,1
complains,1
complaint,1
complex,1
complexity,2
complicated,2
computing,1
concern,2
conclusion,1
conference,1
conflict,2
confusionon,1
conn,1
consciously,1
consciousness,1
consciousnessher,1
consequence,2
considerable,1
considered,2
considers,2
consistent,1
constant,1
constructing,1
consummate,1
contained,1
contends,1
content,1
contenteven,1
continued,1
contrast,1
contributed,1
controlhe,1
controlled,1
convenience,3
conventional,1
conversation,1
conveying,1
convincingly,1
convolution,1
coopt,1
copy,2
corner,1
cosmos,1
cost,1
could,5
counting,1
country,2
course,1
courtbefore,1
cover,2
coverage,1
covering,2
crash,1
created,4
creative,1
creator,2
crime,1
criminal,1
crisis,1
criticism,1
crossing,1
crucial,1
crush,1
culture,1
cumming,1
curator,2
current,2
currently,2
curtain,1
customer,1
cut,1
czech,1
damaged,1
damp,1
danceas,1
danger,1
dangerous,1
dangerousthe,1
daringly,1
dark,2
darkness,1
data,6
daughtersa,1
dauntless,1
day,6
dazzled,1
deadpan,1
deal,2
death,16
deathand,1
deathchief,1
decade,2
deceptive,1
decision,5
decisionsa,1
decisionsthe,1
declaration,1
decline,2
declined,2
dedham,1
deemed,1
deep,1
deeper,1
deescalation,1
defeat,4
defiance,1
deformed,1
deftly,1
delicate,2
delivered,1
dello,1
demanding,1
demographic,1
demon,1
department,5
dependence,1
depiction,1
deputy,1
deranged,1
descended,1
