text,size
aadhar,1
aamarsh,2
abc,2
abigail,2
ability,1
abo,1	
abuse,2
abusive,1
account,5
act,1
actual,1
acumen,2
adhd,1
afraid,6
agent,3
ago,3
alllivesmatter,1
almost,2
along,2
altruism,2
altstatedpt,1
always,1
aly,1
alyst,1
amazing,2
amazon,27
ambjohnbolton,2
american,2
amp,18
ananavarro,1
animal,2
animaladvocate,2
animalwatch,2
anybodys,1
anyone,1
anything,1
apparently,1
arm,1
arming,1
around,1
art,16
aryanna,1
asshole,1
asswipe,1
atonic,4
attack,3
austinbomber,1
available,6
avoided,1
avramovk,1
away,1
awkward,3
aww,1
b,1
back,22
bad,2
barbaric,1
barrycunningham,1
bathsinbloodofdeadchildren,1
bear,2
beautiful,44
becaused,1
become,6
begin,1
behalf,1
behavior,1
beheading,1
behind,2
belongs,1
best,16
beta,6
better,4
betwn,1
big,1
billkeywest,1
bizarrorp,1
bleeding,1
blindly,1
blonde,4
bocavista,1
book,42
bookthe,1
boonevillebully,1
boot,1
born,1
bornfree,1
bout,1
brained,2
breed,1
bren,2
brocktune,1
buffoon,3
bullshit,2
busy,1
c,1
call,1
called,1
came,1
cann,1
cannot,5
capitolalert,1
captain,5
care,3
case,2
cbrmj,3
censored,1
certain,1
challenged,1
change,1
charged,1
charlottelawr,3
check,2
child,2
childmari,7
chris,1
chriscjackson,3
chrislhayes,1
christinap,4
cl,1
classmate,2
click,1
clown,1
cnn,1
cnt,1
coffee,1
coldcase,2
collaborative,2
collinrugg,1
come,1
comm,6
common,1
companion,1
company,1
compas,1
computer,1
confirmed,1
confusing,1
conscience,3
constitution,4
context,1
continues,1
conversation,2
corbyn,1
cosmicfirepeace,3
could,48
country,1
couple,2
cover,16
coverreveal,16
coward,3
crap,1
crawl,1
craziest,1
craziness,1
creativiapub,41
creatu,1
criminal,1
criminalminds,1
crush,1
cry,1
cshellswells,1
cuckoofilms,2
cut,21
cyber,2
cyberstalker,1
cycle,2
daily,1
dana,1
dang,1
danielmalauthor,1
danish,1
dare,44
darkness,27
date,4
dateduaubdedububeduaubdedububeduaubdedububeduaubdedubueduaubdedubueduaubdedubueduaubdedubu,1
daughter,1
david,2
davidcreativia,3
davidhogg,12
davidtattwood,3
day,2
daysinitaly,1
de,1
death,26
decade,1
deepstateagent,1
defacating,1
deg,1
deledarling,1
deleting,1
delicateonspotify,1
democrat,1
deplorable,1
depth,26
descend,26
deserve,1
destroy,1
devalue,2
diabolical,1
difference,1
disagree,1
disappear,1
disappointed,1
discard,2
discredit,1
dismissed,1
dissociativeindentitydisorder,1
distinguishedperson,2
divinepunishment,1
divorcing,1
djsanjee,1
dloesch,4
dmorrismichael,4
doe,1
doesnt,4
doll,1
domesticabuse,2
domesticated,1
domesticviolence,2
dont,6
dotard,4
draft,1
drama,1
dream,1
drug,1
dusting,5
dylansprouse,1
early,1
easter,1
eduaubcedubcubceduaubcedubduempaths,2
eduaubcedubdueduaubdedubu,2
eduaubcedubeua,3
eduaubdedubu,1
eduaubdedubua,2
eduaubdedubuaa,44
eduaubdedubueduaubdedubud,1
eduaubdedubujust,1
eduaubeedubuaf,1
eduaubeedubueduaubeedubu,1
either,1
electe,1
elerhinomarch,2
elizlanders,1
else,1
embrace,2
emmachange,1
emotional,5
empathy,4
employee,1
en,4
end,1
endure,1
enemy,1
enews,1
engineer,2
enjoy,5
episode,1
even,1
event,1
ever,2
every,1
everything,1
evidence,1
evil,4
evileyeswarning,1
ex,1
exists,2
exposedmagsheff,3
extremely,1
factor,2
fail,1
family,1
faught,2
fbr,5
fbrparty,9
fear,3
feel,1
feeli,1
feeling,1
fever,1
fight,2
figure,1
film,1
financial,1
finest,1
flightcrews,1
flyingmonkeysa,1
folk,2
followbackresistance,4
follower,5
following,1
forever,2
forgive,1
foriegnsecretary,3
foulest,26
fraud,1
friend,1
frostnhstaterep,1
fucking,1
fuct,1
full,1
fully,2
gabkmfl,2
gain,2
geezus,1
george,1
get,7
giddy,1
girl,1
girllsssss,1
girobillard,1
give,1
go,1
gofuckyourself,1
going,9
gone,1
good,2
gop,4
gopchairwoman,4
goudin,1
government,1
govt,1
great,1
grip,1
grizzly,1
growing,1
gtgt,3
gtspeduaubcedubeuaftting,7
gtthe,7
guarenteed,1
guess,1
guy,3
ha,4
hacker,1
haish,2
happen,1
happens,1
hard,5
hate,1
hatecrime,1
hav,2
headsoffuk,3
headsup,1
healer,1
healingcptsd,4
heard,1
hell,26
help,5
helped,1
helping,2
hereeee,2
hillaryclinton,2
himse,1
hire,1
history,1
hoarsewisperer,1
hogg,3
holiday,2
hollywood,1
hometown,21
horror,26
house,2
htt,2
http,6
httpstcoadumxcudo,1
httpstcoahtbgcyscc,1
httpstcoassezqr,1
httpstcobksies,1
httpstcobqqnsdruqq,3
httpstcobxlmgias,1
httpstcobzypdasnm,1
httpstcocbenghic,1
httpstcoccczuccno,1
httpstcoccpuchoei,1
httpstcockvhyfllpq,1
httpstcoclyyxdn,1
httpstcocqsdaxjrto,1
httpstcocrgsbc,1
httpstcocsbmduxw,6
httpstcodqkavgu,1
httpstcodusqliryi,1
httpstcoejagswh,1
httpstcoelabpidbf,1
httpstcoeogkhceyy,1
httpstcoepguqhplt,1
httpstcoerlvzkkv,1
httpstcoewtlzrwqe,2
httpstcofehhfwc,1
httpstcofwpumvyoz,1
httpstcogbpfpaiuun,1
httpstcogfygbadtty,1
httpstcogkozmrxkq,1
httpstcogkpvllbdjg,1
httpstcohasjltcw,1
httpstcohffenvhne,1
httpstcohqfetbizv,1
httpstcohtyhbnk,4
httpstcoietdixsw,1
httpstcoifbitw,1
httpstcoitdjvf,1
httpstcoitqslnxs,1
httpstcoizxvx,1
httpstcojennddgb,1
httpstcojhbclhpg,1
httpstcojievcecijg,1
httpstcojmwiytl,1
httpstcojofggflf,1
httpstcojqztmpyxn,2
httpstcokoooioky,1
httpstcokqbnyjdt,1
httpstcoksdqoiek,1
httpstcokskafhrvtg,1
httpstcolbrwourc,1
httpstcoljvevjkfv,1
