text,size
aadhar,1
aamarsh,2
abc,2
abigail,2
ability,1
abo,1
abuse,10
abusive,1
access,2
account,5
ache,1
achtterjee,3
across,1
act,1
activism,1
actual,1
actually,2
acumen,22
adam,1
add,2
adhd,1
administration,1
adrian,3
adult,1
adviser,1
advocating,1
affect,1
afraid,6
agedteen,1
agenc,1
agent,4
ago,6
ahead,2
ai,1
aint,1
aka,1
alberta,3
albertehstein,2
alcshot,1
alert,3
alexjonesisinsane,1
alexmorash,1
alive,1
alllivesmatter,1
almost,2
alone,1
along,7
already,1
also,5
altruism,2
altstatedpt,1
always,2
aly,1
alyst,1
amaditalks,1
amazing,6
amazon,30
ambjohnbolton,11
amccloggan,17
america,1
american,8
amp,33
analyze,2
ananavarro,1
angelou,1
angry,1
animal,4
animalabuse,1
animaladvocate,3
animalcruelty,2
animaldefenders,1
animalwatch,2
annarowe,9
anncoulter,1
annoykurtz,1
another,3
antisocial,2
anybodys,1
anyone,3
anything,2
ap,6
apcentralregion,2
apparently,2
appointed,1
appreciate,3
apricotjammies,1
apwestregion,2
arguing,1
arguingwith,1
ari,1
arm,1
arming,1
arnold,1
around,1
art,29
artificially,1
artist,1
aryanna,1
ascendancy,1
ask,2
asked,1
asshole,1
asswipe,1
asylum,1
atm,1
atmos,1
atonic,4
attack,4
attracted,1
audre,1
audsley,6
austin,6
austinbomber,3
authority,1
available,6
avoid,2
avoided,1
avramovk,4
awareness,10
away,1
awkward,3
aww,1
b,2
babe,1
back,56
bad,9
bag,1
ballanced,1
bank,1
bannermans,4
bar,2
barabbasmctaint,1
barack,1
barbannpa,1
barbarian,1
barbaric,1
barrycunningham,1
basically,2
basilbear,1
bathsinbloodofdeadchildren,1
bbcbreaking,1
bear,2
beautiful,72
becaused,1
become,7
becomes,1
bed,2
befriend,1
begin,1
behalf,1
behaving,1
behavior,2
behavioralanalysis,1
behaviour,2
beheading,1
behind,3
believe,1
belong,18
belongs,2
best,28
beta,6
better,7
betwn,1
beyond,1
big,1
bigot,1
bigpharma,1
billkeywest,1
binafide,1
bird,2
bitch,1
bizarrorp,1
black,1
bleeding,1
blindly,1
blocked,1
blonde,4
blood,2
blow,2
bocavista,1
body,3
bolton,2
bomber,4
bombing,1
bonespur,1
book,67
bookthe,1
booktribe,5
boonevillebully,1
boot,2
borderline,2
boris,1
born,1
bornfree,1
bout,1
boy,2
brained,2
brainhealthcare,1
bred,1
breed,1
bren,2
briankhahn,1
brief,1
brilliant,1
brocktune,1
broke,1
brought,2
budderside,3
budget,1
buffoon,3
build,1
bullshit,2
bully,1
bunch,2
buried,13
bush,6
business,1
busy,1
c,5
ca,2
cahnemily,1
calculated,1
call,5
called,3
callmelucy,1
came,2
campbellclaret,1
cancrime,2
cann,1
cannot,6
cant,5
capitolalert,1
captain,7
car,1
care,4
caring,1
carmel,6
carrey,1
case,7
cat,2
catfish,10
caught,3
cause,1
caused,1
cbrmj,3
cee,2
celebrating,1
celebrity,1
censored,1
central,1
cer,1
certain,2
certainly,1
ch,1
chadbrooker,1
challenged,1
chance,2
change,1
changeatire,1
character,1
charge,1
charged,1
charlottelawr,13
charlottelawrs,1
charming,1
cheated,1
cheating,1
check,8
child,7
childabuse,1
childmari,8
childr,2
chilling,1
chillypaige,3
chris,1
chriscjackson,3
chrislhayes,1
christian,1
christianzionist,1
christinap,4
chubailiang,4
chumplady,1
cia,1
citizensknow,2
civil,2
cl,1
classmate,2
clearly,2
click,3
closer,2
clown,1
clydesdale,6
cnn,1
cnt,1
codependency,2
coding,1
coffee,1
coldcase,6
collaborative,6
collinrugg,1
come,2
coming,1
comm,6
common,5
companion,1
company,2
compas,1
compassion,4
compassionate,2
complete,2
complimentsfromtheheart,1
computer,2
condom,1
confession,4
confirmed,3
conflict,1
confusing,2
conman,1
conscience,4
consequence,1
conservative,2
constitution,4
consul,1
contact,1
context,1
continues,2
control,2
conversation,2
cool,1
cooper,1
corbyn,3
cosmicfirepeace,4
could,79
couldnt,3
count,3
country,5
couple,2
courage,1
course,1
cover,28
coverreveal,28
coward,7
crap,1
crawl,1
craziest,1
craziness,1
crazy,1
crazyass,1
creating,1
creativiapub,94
creatu,1
creature,1
credible,4
creepy,2
crime,1
criminal,4
criminalminds,1
criticasinmiedo,3
criticized,1
crosscultural,1
crown,1
crunchysadomasochist,1
crush,2
cruz,1
cry,2
cshellswells,1
ct,4
cuckoofilms,2
cuddle,2
curtfloodjr,2
cut,36
cyber,22
cyberstalker,3
cycle,3
daily,1
damn,1
dana,1
dang,1
danger,3
dangerous,6
dangeroushedges,1
danielmalauthor,3
danish,1
dare,71
dark,2
darkness,27
date,4
dateduaubdedububeduaubdedububeduaubdedububeduaubdedubueduaubdedubueduaubdedubueduaubdedubu,1
dating,2
daughter,1
david,2
davidcreativia,3
davidhogg,12
davidkoreshjunior,1
davidtattwood,3
davina,1
day,4
daysinitaly,1
dcohlander,1
de,1
dead,9
deadbodies,13
deal,1
dealing,1
death,28
decade,1
decision,1
deeoneayekooto,1
deep,1
deepidhaliwal,1
deepstateagent,1
defacating,1
deficiency,1
definitely,2
definition,3
deg,1
degree,1
dehydration,1
deledarling,1
deleting,2
delicateonspotify,1
delusional,2
democrat,1
denounced,1
depending,1
deplorable,1
depr,1
depressed,2
depth,26
deranged,1
descend,26
described,2
deserve,2
deserves,1
destiny,2
destroy,1
destroyer,1
detached,1
detail,1
devalue,3
devinnunes,2
devoid,1
diabolical,1
dictator,1
didnt,1
die,1
died,1
difference,2
difficult,15
digby,4
directly,1
disagree,1
disappear,1
disappointed,1
discard,3
discovered,1
discredit,1
disgusting,1
dismissed,1
display,1
dissects,1
dissociativeindentitydisorder,1
distinguishedperson,2
distu,1
disturbing,1
divinepunishment,1
divorcing,2
djsanjee,1
dloesch,6
dmorrismichael,4
dnc,1
document,3
dodge,1
doe,5
doesnt,5
dog,2
doll,1
domesticabuse,11
domesticated,1
domesticterrorist,2
domesticviolence,12
dominionist,1
donaldtrumps,2
donnytrumpster,1
dont,15
doomed,3
dorritr,1
